AME-Recommended Nuclide Masses (source: ciaaw.org, 17 Mar 2021, Juris Meija),,,
,,,
nuclide,mass,uncertainty,Year/link
1H,1.007825035,0.000000012,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
2H,2.014101779,0.000000024,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
3H,3.016049268,0.000000036,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
3He,3.016029307,0.000000036,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
4H,4.027739432,0.000412357,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
4He,4.002603241,0.000000052,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
4Li,4.026972270,0.000322062,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
5He,5.012223592,0.000053677,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
5Li,5.012537774,0.000053677,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
6He,6.018885989,0.000001026,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
6Li,6.015121379,0.000000746,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
6Be,6.019724869,0.000005896,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
7He,7.028029385,0.000032217,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
7Li,7.016003002,0.000000840,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
7Be,7.016928278,0.000000840,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
7B,7.029919021,0.000075911,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
8He,8.033921062,0.000007593,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
8Li,8.022485644,0.000000856,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
8Be,8.005305120,0.000000117,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
8B,8.024605800,0.000001308,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
8C,8.037675267,0.000025902,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
9He,9.043810669,0.000128825,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
9Li,9.026788958,0.000002116,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
9Be,9.012182153,0.000000424,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
9B,9.013328832,0.000001055,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
9C,9.031039405,0.000002361,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
10Li,10.036322970,0.000268384,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
10Be,10.013534090,0.000000428,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
10B,10.012936949,0.000000319,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
10C,10.016856387,0.000000511,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
10N,10.042621,0.000429,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
11Li,11.043909565,0.000113760,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
11Be,11.021657608,0.000006782,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
11B,11.009305385,0.000000387,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
11C,11.011433274,0.000000957,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
11N,11.026744202,0.000161030,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
12Be,12.026920954,0.000016109,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
12B,12.014352593,0.000001413,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
12C,12.000000000,0.000000000,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
12N,12.018613026,0.000001074,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
12O,12.034421270,0.000047844,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
13Be,13.037518,0.000537,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
13B,13.017780178,0.000001141,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
13C,13.003354826,0.000000017,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
13N,13.005738604,0.000000290,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
13O,13.024810027,0.000010227,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
14Be,14.044036,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
14B,14.025403828,0.000022773,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
14C,14.003241982,0.000000027,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
14N,14.003074002,0.000000026,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
